,Unnamed: 0,Author,Description,ReviewRating,Country,Review_Date,AirCraft,Seat_Type,Route,Date_flown,Type_of_traveller,Seat_Comfort,Cabin_staff_service,Ground_Service,Value_For_Money,Recommended,Food_And_Bevarages,Inflight_Entertainment,Wifi_and_Connectivity
403,403,"['', 'Raj Gharu']","""Philippines Airlines require a 24 hr negative covid test""",1,United Kingdom,22nd August 2022,,Business Class,London to Manila via Singapore,June 2022,Solo Leisure,1.0,1.0,1.0,1,no,1.0,1.0,
404,404,"['', 'Christine Chapman']","""not worth the risk of travelling with BA""",1,United Kingdom,21st August 2022,,Economy Class,London to Barcelona,June 2022,Solo Leisure,1.0,2.0,1.0,1,no,1.0,,
405,405,"['', 'N Ganovski']","""cancelled my return flight""",1,United States,20th August 2022,,Business Class,Los Angeles to Thessaloniki via London,June 2022,Business,2.0,2.0,1.0,1,no,1.0,,
406,406,"['', 'M Lane']","""staff were so friendly"" ",10,Ireland,15th August 2022,,Economy Class,Boston to Dublin via London,August 2022,Couple Leisure,5.0,5.0,5.0,5,yes,5.0,5.0,1.0
407,407,"['', 'Josephine Vega']","""amazing at her job""",10,United States,10th August 2022,,Economy Class,London to New York,July 2022,Couple Leisure,5.0,5.0,5.0,3,yes,5.0,5.0,5.0
408,408,"['', 'Stan Van Wyk']","""no food available for the 4 year old""",1,South Africa,4th August 2022,Boeing 777,Economy Class,Cape Town to London Heathrow,August 2022,Family Leisure,2.0,1.0,4.0,3,no,1.0,3.0,
409,409,"['', 'William Ross']","""We had a nice flight""",8,United States,31st July 2022,,Premium Economy,Dallas Ft Worth to London,May 2022,Couple Leisure,3.0,5.0,4.0,4,yes,5.0,,
410,410,"['', 'M Carena']","""2 suitcases lost in 2 flights""",1,United Kingdom,30th July 2022,,Economy Class,London to Amsterdam,July 2022,Family Leisure,1.0,1.0,1.0,1,no,1.0,,
411,411,"['', 'Ian Sinclair']","""Some things just do not change at BA""",1,United Kingdom,27th July 2022,A320,Business Class,London to Marrakesh,June 2022,Solo Leisure,1.0,1.0,1.0,1,no,1.0,1.0,1.0
412,412,"['', 'Lilian Nelson']","""I have not received my refund""",2,Ghana,27th July 2022,,Economy Class,Accra to London,November 2021,Solo Leisure,,,1.0,1,no,,,
413,413,"['', 'Donald Haugh']","""has taken a nosedive in my opinion""",2,United States,27th July 2022,,Economy Class,Nairobi to New York via London,July 2022,Solo Leisure,3.0,5.0,3.0,1,no,3.0,,
414,414,"['', 'E Smyth']","""A good flight overall""",8,United Kingdom,23rd July 2022,A380,Business Class,San Francisco to London,July 2022,Family Leisure,4.0,5.0,4.0,4,yes,4.0,4.0,5.0
415,415,"['', 'Frank Houiellebecq']","""managed to lose my luggage""",1,United Kingdom,22nd July 2022,A320,Economy Class,London to Amman,May 2022,Solo Leisure,1.0,1.0,1.0,1,no,,,
416,416,"['', 'T Payne']","""get us on a flight 5 days later""",1,United States,22nd July 2022,,Economy Class,Edinburgh to Washington via London,July 2022,Family Leisure,2.0,2.0,1.0,1,no,2.0,,
417,417,"['', 'Rene Verhoef']","""refund process is non responsive""",1,Netherlands,20th July 2022,,Economy Class,Vancouver to Amsterdam via London,June 2022,Couple Leisure,5.0,5.0,1.0,1,no,5.0,5.0,
418,418,"['', 'J Tydeman']","""Seat was very uncomfortable""",5,United Kingdom,18th July 2022,A350-1000,Economy Class,Sao Paulo to Heathrow ,July 2022,Couple Leisure,1.0,2.0,3.0,3,yes,3.0,1.0,
419,419,"['', 'Michael Little']","""let down by chaotic check-in and boarding""",5,Australia,18th July 2022,A321,Economy Class,London to Reykjavik,May 2022,Couple Leisure,3.0,4.0,1.0,4,yes,1.0,,
420,420,"['', '31 reviews', '', '', '', 'J Roberts']","""Crew were attentive and charming""",7,United Kingdom,17th July 2022,A321,Economy Class,Belfast to London,July 2022,Business,4.0,5.0,2.0,4,yes,2.0,,
421,421,"['', 'Mark Robinson']","""become an absolute nightmare""",1,United Kingdom,13th July 2022,,Business Class,London to Malaga,July 2022,,,,,1,no,,,
422,422,"['', 'Matthew Sheedy']","""wonderful BA representative""",10,Canada,12th July 2022,,Business Class,London to Toronto,July 2022,Couple Leisure,5.0,5.0,5.0,5,yes,5.0,5.0,
423,423,"['', 'E Smyth']","""Overall a good flight""",8,United Kingdom,9th July 2022,A350,Business Class,London to Los Angeles,July 2022,Family Leisure,4.0,4.0,5.0,4,yes,4.0,5.0,5.0
424,424,"['', 'Tanya Disselkoen']","""disappointed and angry""",1,United States,7th July 2022,,Economy Class,Washington to London,July 2022,Family Leisure,1.0,1.0,1.0,1,no,,,
425,425,"['', 'Deanna Lacey']","""lack of practical assistance""",2,United States,6th July 2022,,Premium Economy,Nairobi to New York via London,July 2022,Solo Leisure,1.0,1.0,1.0,1,no,1.0,1.0,1.0
426,426,"['', 'J Gandre']","""they have no idea where our bags are""",1,United States,6th July 2022,Embraer 190,Business Class,Dublin to London City,July 2022,Couple Leisure,4.0,4.0,1.0,1,no,3.0,,
427,427,"['', 'H Munstinelli']","""Limited TV and movie selections""",4,Italy,4th July 2022,"A320, Boeing 787",Premium Economy,Venice to Baltimore via London Heathrow,July 2022,Solo Leisure,3.0,3.0,1.0,2,no,3.0,2.0,1.0
428,428,"['', 'Gerald Kirby']","""seat reservation fees are non refundable""",1,United States,4th July 2022,,Premium Economy,London to Nairobi,June 2022,Couple Leisure,,,,1,no,,,
429,429,"['', 'Nigel Forfar']","""cabin crew seemed to really struggle with service""",6,South Africa,30th June 2022,A350,Economy Class,London Heathrow to Johannesburg,June 2022,Couple Leisure,1.0,3.0,2.0,4,no,3.0,2.0,
430,430,"['', 'Katie Mcdonald']","""Overall not happy at all""",1,Ireland,30th June 2022,,Economy Class,Belfast to London,June 2022,Family Leisure,,,1.0,1,no,,,
431,431,"['', 'Paul Mayer']","""do not allow free seat selection",1,United States,29th June 2022,,Business Class,,June 2022,Family Leisure,2.0,2.0,1.0,1,no,2.0,2.0,
432,432,"['', 'Michael Ganey']","""Really not fair to just take our money!""",1,Australia,28th June 2022,,Economy Class,London to Paris,July 2021,Couple Leisure,1.0,1.0,1.0,1,no,1.0,1.0,1.0
433,433,"['', '1 reviews', '', '', '', 'David Lindner']","""Trying to call BA was a nightmare""",1,United States,27th June 2022,,Business Class,Miami to Paris,June 2022,Business,3.0,4.0,3.0,1,no,4.0,2.0,1.0
434,434,"['', 'Amira Ali']","""flight was delayed over 6 hours""",1,Canada,27th June 2022,,Economy Class,Edmonton to Cairo,June 2022,Family Leisure,2.0,2.0,1.0,2,no,1.0,1.0,1.0
435,435,"['', 'Andreia Costa']","""No respect with the customer!""",1,Netherlands,27th June 2022,,Premium Economy,Amsterdam to Montreal via London,June 2022,Couple Leisure,2.0,2.0,2.0,2,no,2.0,2.0,2.0
436,436,"['', 'James Pang']","""BA cancelled my flight, I never got on it""",1,Hong Kong,25th June 2022,,Economy Class,Hong Kong to London,April 2022,Solo Leisure,,,,1,no,,,
437,437,"['', 'N Gan']","""think twice to take BA in the future""",1,Singapore,25th June 2022,,Economy Class,Belfast to London,June 2022,Family Leisure,3.0,1.0,1.0,1,no,2.0,,
438,438,"['', 'Kemal Can']","""I guess BA has selected the lowest budget option""",4,United Kingdom,24th June 2022,A350,Economy Class,London to Johannesburg,June 2022,Business,1.0,4.0,3.0,2,no,1.0,2.0,1.0
439,439,"['', 'Gustavo Sirna Barbosa']","""Good old times of being a glamour flying BA has far gone""",1,United Kingdom,23rd June 2022,A320,Economy Class,Paris CDG to London Heathrow,June 2022,Couple Leisure,1.0,4.0,2.0,1,no,1.0,1.0,1.0
440,440,"['', 'Simon Fowler']","""food choice and quality was poor""",4,United Kingdom,23rd June 2022,,Business Class,Portland to London,June 2022,Couple Leisure,2.0,4.0,4.0,2,no,2.0,2.0,
441,441,"['', 'M Edwards']","""BA standards continue to slip""",5,United Kingdom,22nd June 2022,A320,Business Class,London to Malaga,June 2022,Business,3.0,2.0,2.0,3,no,2.0,,3.0
442,442,"['', 'David Stewart']","""Right now do not use British Airways""",1,United States,20th June 2022,,Economy Class,Boston to Edinburgh via Heathrow,June 2022,Couple Leisure,1.0,4.0,1.0,1,no,4.0,3.0,1.0
443,443,"['', 'H Schock']","""never use this company again""",1,Canada,19th June 2022,,Economy Class,Edmonton to Santorini via Toronto / London,June 2022,Couple Leisure,1.0,1.0,1.0,1,no,,,
444,444,"['', 'S Han']","""a fairly disappointing experience""",4,Canada,18th June 2022,A380,Economy Class,Vancouver to London,June 2022,Solo Leisure,1.0,2.0,2.0,3,no,1.0,3.0,
445,445,"['', '31 reviews', '', '', '', 'David Ellis']","""Club Suite seats a huge improvement""",8,United Kingdom,17th June 2022,Boeing 777-200,Business Class,London to san Francisco,June 2022,Couple Leisure,4.0,4.0,2.0,4,yes,3.0,5.0,4.0
446,446,"['', 'G Gregory']","""had to hand in my hand luggage""",2,Netherlands,16th June 2022,,Economy Class,London to Amsterdam,June 2022,Business,2.0,2.0,2.0,1,no,,,
447,447,"['', 'S Gray']","""BA are putting the 'economy' back in premium economy""",5,United Kingdom,15th June 2022,Boeing 777,Premium Economy,Cancun to London Gatwick,June 2022,Couple Leisure,4.0,3.0,3.0,3,no,2.0,4.0,
448,448,"['', 'N Rochon']","""no information where my luggage is""",4,Germany,13th June 2022,,Economy Class,Phoenix to Hamburg via London,June 2022,Couple Leisure,2.0,2.0,1.0,1,no,3.0,4.0,
449,449,"['', 'Price Johnson']","""This airline is a complete disaster""",1,United States,11th June 2022,,Business Class,Dallas Fort-Worth to Toulouse via London,June 2022,Family Leisure,1.0,1.0,1.0,1,no,1.0,1.0,1.0
450,450,"['', '12 reviews', '', '', '', 'Chris Walsh']","""the nicest crew I've ever had""",10,United Kingdom,8th June 2022,A320,Business Class,London to Thira,June 2022,Couple Leisure,5.0,5.0,5.0,5,yes,5.0,,
451,451,"['', 'Munazza Razaq']","""she went above and beyond""",10,United Kingdom,6th June 2022,,Economy Class,Islamabad to Manchester via Gatwick,April 2022,Family Leisure,5.0,5.0,5.0,4,yes,5.0,,
452,452,"['', 'Christopher Neep']","""crew made the flight outstanding""",10,United Kingdom,3rd June 2022,A380,Business Class,Vancouver to London,June 2022,Solo Leisure,4.0,5.0,2.0,5,yes,3.0,4.0,4.0
453,453,"['', 'Daniel Cook']","""Overall it was a great flight""",9,United Kingdom,2nd June 2022,Boeing 777-300ER,Economy Class,London to Boston,May 2022,Business,4.0,5.0,5.0,3,yes,5.0,,5.0
454,454,"['', 'Manan Ghosh']","""provide a hassle free flight to my son""",9,South Africa,2nd June 2022,,Economy Class,Johannesburg to Toronto via London,May 2022,Solo Leisure,4.0,4.0,4.0,3,yes,4.0,,1.0
455,455,"['', 'F Keele']","""finally agreed to refund my baggage charge""",1,United Kingdom,1st June 2022,,Economy Class,Zurich to London,February 2022,Couple Leisure,,,1.0,1,no,,,
456,456,"['', 'Ken Howie']","""Crew were good but lacked the personal touch""",8,South Africa,30th May 2022,Boeing 777,Business Class,Johannesburg to London Heathrow,April 2022,Couple Leisure,4.0,4.0,3.0,3,yes,3.0,,
457,457,"['', 'S Tharen']","""do not recommend this airline""",1,Switzerland,30th May 2022,,Business Class,Miami to Zurich via London,May 2022,Couple Leisure,4.0,3.0,1.0,1,no,3.0,4.0,
458,458,"['', 'Wayne Connolly']","""I will never use them again""",1,United Kingdom,30th May 2022,Boeing 777-300,Economy Class,Bridgetown to London ,May 2022,Family Leisure,1.0,5.0,3.0,1,no,1.0,3.0,
459,459,"['', '1 reviews', '', '', '', 'J Davey']","""they should be ashamed""",1,United Kingdom,27th May 2022,,Business Class,London to Malaga,May 2022,Family Leisure,,,,2,no,,,
460,460,"['', 'B Owen']","""economy style with an unsold middle seat""",2,United Kingdom,24th May 2022,,Business Class,Dubrovnik to London,May 2022,Couple Leisure,2.0,2.0,4.0,1,no,1.0,,
461,461,"['', 'Sarah Lorimer Turner']","""Amsterdam is the worst airport I have experienced""",1,Bermuda,23rd May 2022,,Economy Class,Amsterdam to London,May 2022,Couple Leisure,2.0,1.0,1.0,1,no,1.0,,
462,462,"['', 'R Marton']","""They actually give me a voucher""",1,United States,19th May 2022,,Economy Class,Columbus to Nairobi via Chicago / London,May 2022,Business,,,,1,no,,,
463,463,"['', 'Lizzy Keough']","""battling a long overdue refund""",1,United Kingdom,18th May 2022,,Economy Class,London to Geneva,March 2022,Solo Leisure,,,,1,no,,,
464,464,"['', '1 reviews', '', '', '', 'L Kayne']","""I will never fly with them again""",1,United Kingdom,18th May 2022,,Business Class,London to Mauritius,March 2022,Solo Leisure,,,1.0,1,no,,,
465,465,"['', 'Gary Mccartan']","""one excuse after another with BA these days""",3,United Kingdom,18th May 2022,A320,Economy Class,London Heathrow to Malaga,May 2022,Solo Leisure,3.0,2.0,1.0,3,no,1.0,1.0,1.0
466,466,"['', 'M Mueller']","""Cancelled connection flight""",2,Germany,11th May 2022,,Economy Class,Basel to Johannesburg via London,May 2022,Solo Leisure,1.0,2.0,1.0,2,no,2.0,2.0,1.0
467,467,"['', 'G Karakis']","""no cabin divider in the aircraft""",4,United Kingdom,11th May 2022,A320,Business Class,Athens to London,May 2022,Couple Leisure,2.0,4.0,3.0,2,no,3.0,,2.0
468,468,"['', '5 reviews', '', '', '', 'G Berhler']","""worth the extra money for Premium Economy""",8,United Kingdom,9th May 2022,Boeing 787,Premium Economy,London to Mexico City,April 2022,Solo Leisure,5.0,4.0,4.0,4,yes,4.0,3.0,
469,469,"['', 'Tyler Speer']","""decline in customer service""",1,United States,8th May 2022,,Economy Class,Glasgow to New York,May 2022,Business,3.0,4.0,1.0,1,no,4.0,4.0,4.0
470,470,"['', 'HJB Byers']","""I’m extremely frustrated""",3,United Kingdom,5th May 2022,,Economy Class,London Heathrow to Los Angeles,May 2022,Solo Leisure,1.0,5.0,4.0,1,no,,,
471,471,"['', '14 reviews', '', '', '', 'N Siotto']","""Staff very friendly and professional""",10,United Arab Emirates,4th May 2022,Boeing 777,Premium Economy,Dubai to Milan Malpensa via London,May 2022,Solo Leisure,5.0,5.0,5.0,5,yes,5.0,5.0,3.0
472,472,"['', 'J Barson']","""upgrade had been given away to someone else""",2,United States,4th May 2022,,Economy Class,Los Angeles to London,May 2022,Solo Leisure,,,,1,no,,,
473,473,"['', 'Kirsty Henderson']","""discrepancy with the baggage allowance""",1,Botswana,29th April 2022,Boeing 777,Economy Class,London to Cape Town,April 2022,Solo Leisure,2.0,1.0,1.0,1,no,2.0,,
474,474,"['', 'C Barteres']","""thank you for the great service""",10,Brazil,29th April 2022,,Economy Class,São Paulo to Milan via London,April 2022,Solo Leisure,5.0,5.0,5.0,5,yes,5.0,5.0,5.0
475,475,"['', 'W Gordon']","""food was first class, nothing was too much for the staff""",8,Panama,28th April 2022,A321 Neo,Business Class,Madrid to London Heathrow,April 2022,Family Leisure,3.0,5.0,5.0,4,yes,5.0,,
476,476,"['', 'Leslie Percy']","""Overall a very pleasant trip""",10,United Kingdom,27th April 2022,A320,Business Class,Dubrovnik to London Heathrow,April 2022,Couple Leisure,4.0,5.0,5.0,5,yes,5.0,,
477,477,"['', 'K Marishan']","""have lost all patience with this airline""",1,United Kingdom,24th April 2022,,Business Class,London to Aberdeen,April 2022,Business,1.0,2.0,3.0,1,no,1.0,,
478,478,"['', 'Paul MacInnes']","""BA have no intention of resolving this""",1,United Kingdom,23rd April 2022,A320,Business Class,Pisa to London Heathrow,March 2022,Solo Leisure,1.0,1.0,1.0,1,no,1.0,1.0,1.0
479,479,"['', 'Charmaine Williams']","""absolutely shocking service""",1,South Africa,20th April 2022,Boeing 737 800,Economy Class,Johannesburg to Durban,April 2022,Couple Leisure,1.0,1.0,1.0,1,no,1.0,,
480,480,"['', 'Rolf Linden']","""was a really bad experience""",1,Sweden,20th April 2022,A320,Economy Class,Gothenburg to Manchester via London,April 2022,Couple Leisure,3.0,3.0,1.0,1,no,1.0,,1.0
481,481,"['', 'Guy Senior']","""lots of space and privacy, very good seat""",9,United Kingdom,20th April 2022,Boeing 787,Business Class,Chicago to London,March 2022,Solo Leisure,5.0,5.0,3.0,4,yes,5.0,4.0,
482,482,"['', 'Christy Chang']","""been an appalling experience""",1,United Arab Emirates,16th April 2022,,Economy Class,Riyadh to Nice via London,April 2022,Couple Leisure,2.0,3.0,1.0,2,no,2.0,3.0,
483,483,"['', 'K Fama']","""such terrible customer service""",1,Australia,15th April 2022,,Business Class,London to Glasgow,April 2022,Couple Leisure,,,,1,no,,,
484,484,"['', '1 reviews', '', '', '', 'Ryan Moukarram']","""The service was very good""",7,United Kingdom,14th April 2022,A380,Economy Class,Glasgow to Washington via London,April 2022,Family Leisure,4.0,5.0,4.0,3,yes,4.0,3.0,3.0
485,485,"['', 'M Edwards']","""BA is becoming more and more shambolic""",4,United Kingdom,12th April 2022,A320neo,Business Class,Malaga to London,April 2022,Business,2.0,4.0,2.0,2,no,2.0,,1.0
486,486,"['', 'Bruce Derr']","""Shout out to the help desk at Heathrow""",10,United States,12th April 2022,,Economy Class,Nice to Dallas via London,April 2022,Couple Leisure,5.0,5.0,5.0,4,yes,4.0,5.0,5.0
487,487,"['', '6 reviews', '', '', '', 'Andrew Morgan']","""watched their decline with great sadness""",1,United Kingdom,11th April 2022,,Economy Class,London to Paris,March 2022,Solo Leisure,1.0,1.0,1.0,3,no,1.0,,
488,488,"['', 'Nicholas Coveyduck']","""disgraceful that a full fare paying passenger should be treated like this""",3,France,8th April 2022,A320 / Boeing 777,Business Class,Phoenix to Paris via London,April 2022,Couple Leisure,3.0,2.0,2.0,2,no,2.0,1.0,
489,489,"['', 'Peter Pomeranze']","""Generally a positive experience""",9,United States,7th April 2022,Boeing 777-200,Business Class,Phoenix to London Heathrow,April 2022,Business,5.0,5.0,4.0,5,yes,5.0,5.0,3.0
490,490,"['', 'Gilbert Matni']","""most terrible airline I’ve dealt with""",1,United States,7th April 2022,,Economy Class,Santorini to Los Angeles via London,April 2022,Couple Leisure,1.0,1.0,1.0,1,no,1.0,,
491,491,"['', 'D Meares']","""caused our family extreme stress and disappointment""",2,United Kingdom,6th April 2022,,Business Class,London to Tokyo,June 2022,Family Leisure,,,,1,no,,,
492,492,"['', 'David Stones']","""a virtually flawless experience""",9,United Kingdom,6th April 2022,Embraer,Business Class,Edinburgh to London City,April 2022,Solo Leisure,5.0,5.0,5.0,4,yes,5.0,,
493,493,"['', 'B Dozza ']","""New Club Suites are amazing""",8,United Kingdom,6th April 2022,Boeing 777-200ER,Business Class,Vancouver to London,March 2022,Solo Leisure,4.0,4.0,2.0,5,yes,4.0,4.0,5.0
494,494,"['', '12 reviews', '', '', '', 'Chris Walsh']","""Service was good but food not so""",7,United Kingdom,4th April 2022,A319,Business Class,London to Venice,March 2022,Couple Leisure,2.0,4.0,2.0,3,yes,2.0,,
495,495,"['', 'G Meaden']","""still no refunds 3 months on""",1,United Kingdom,4th April 2022,A320,Business Class,London to Barcelona,April 2022,Business,1.0,1.0,1.0,1,no,1.0,,
496,496,"['', '15 reviews', '', '', '', 'Richard Hodges']","""old Club Class a huge disappointment""",5,United Kingdom,4th April 2022,Boeing 777,Business Class,Barbados to Heathrow,March 2022,Couple Leisure,2.0,3.0,4.0,3,yes,3.0,1.0,
497,497,"['', 'Haydn Robinson']","""Spent an hour checking in""",1,United Kingdom,4th April 2022,,Economy Class,Heathrow to Bologna,April 2022,Business,1.0,1.0,1.0,1,no,,,
498,498,"['', 'Jeff Michel']","""Onboard 10/10, getting to be onboard 1/10""",5,Switzerland,3rd April 2022,A320,Business Class,Geneva to London,April 2022,Business,4.0,5.0,1.0,4,no,4.0,,3.0
499,499,"['', 'M Keare']","""Food and service appalling""",2,Australia,3rd April 2022,,Economy Class,London to Singapore,April 2022,Solo Leisure,1.0,1.0,1.0,1,no,1.0,1.0,1.0
500,500,"['', '15 reviews', '', '', '', 'Richard Hodges']","""stop nickel and diming""",9,United Kingdom,2nd April 2022,Boeing 777,Business Class,London to Barbados,March 2022,Couple Leisure,4.0,5.0,4.0,4,yes,4.0,2.0,
501,501,"['', 'Frances Firmin']","""you can and need to do better than this""",4,United Kingdom,2nd April 2022,Boeing 777,Business Class,Cape Town to London Heathrow,March 2022,Couple Leisure,3.0,3.0,3.0,1,no,1.0,,
502,502,"['', 'Edwin Roelink']","""the limited food served was bland""",2,United Kingdom,31st March 2022,,Economy Class,Sydney to Heathrow,March 2022,Couple Leisure,3.0,1.0,2.0,4,no,1.0,1.0,
503,503,"['', 'M Edwards']","""Complete and utter chaos""",1,United Kingdom,31st March 2022,A320,Business Class,London to Malaga,March 2022,Business,2.0,1.0,1.0,1,no,2.0,1.0,
504,504,"['', 'Shaun Woodard']","""There is no customer support""",1,United States,30th March 2022,,Economy Class,Austin to London via Dublin,March 2022,Couple Leisure,2.0,1.0,1.0,1,no,2.0,,
505,505,"['', '31 reviews', '', '', '', 'David Ellis']","""packed-like-sardines Club World product""",3,United Kingdom,29th March 2022,Boeing 777-200,Business Class,Cape Town to London,March 2022,Couple Leisure,2.0,1.0,3.0,2,no,1.0,2.0,
506,506,"['', 'C Layne']","""I couldn’t check in online""",4,United Kingdom,29th March 2022,,Economy Class,London Heathrow to Funchal,March 2022,Couple Leisure,3.0,3.0,1.0,3,no,1.0,,
507,507,"['', 'R Stalorova']","""flight to Antalya in May 2022 was cancelled""",1,United Kingdom,29th March 2022,,Economy Class,Gatwick to Antalya,March 2022,Couple Leisure,,,,1,no,,,
508,508,"['', 'S Sathe']","""If I had the option I would not fly BA""",2,United Kingdom,27th March 2022,Boeing 787-9,Economy Class,London to Austin,March 2022,Couple Leisure,4.0,1.0,1.0,3,no,1.0,1.0,
509,509,"['', 'D Frankish']","""The food was awful""",4,United Kingdom,25th March 2022,,Premium Economy,Dubai to Heathrow,March 2022,Couple Leisure,3.0,2.0,4.0,2,no,1.0,3.0,
510,510,"['', 'P Gough']","""really can’t believe they have the audacity to call this First Class""",3,United Kingdom,19th March 2022,Boeing 787-900,First Class,Singapore to London,March 2022,Solo Leisure,5.0,1.0,2.0,2,no,1.0,4.0,
511,511,"['', 'Thomas Kelly']","""overall very medium experience""",3,United Kingdom,18th March 2022,A350,Economy Class,Dublin to Dubai via London,March 2022,Family Leisure,3.0,4.0,3.0,3,no,3.0,1.0,
512,512,"['', '3 reviews', '', '', '', 'S James']","""Ryanair has more finesse""",1,United Kingdom,17th March 2022,,Economy Class,London Heathrow to Cairo,February 2022,Couple Leisure,1.0,3.0,1.0,1,no,1.0,,
513,513,"['', 'J Holt']","""never use BA again for a long haul flight""",4,United Kingdom,16th March 2022,,Premium Economy,Male to London,March 2022,Couple Leisure,4.0,2.0,4.0,3,no,2.0,3.0,
514,514,"['', 'A Burran']","""can't be reached on the phone""",1,United Kingdom,11th March 2022,,Economy Class,Copenhagen to London,March 2022,Business,2.0,2.0,1.0,1,no,1.0,,
515,515,"['', 'Rachel Mercado']","""downgraded at airport check in""",1,United States,11th March 2022,,Premium Economy,New York to London,March 2022,Family Leisure,1.0,3.0,1.0,1,no,3.0,3.0,
516,516,"['', '1 reviews', '', '', '', 'Granit Dedaj']","""Absolutely shambolic customer service""",2,United Kingdom,6th March 2022,A321-neo,Business Class,London Heathrow to Sofia,August 2021,Business,3.0,5.0,1.0,2,no,2.0,,1.0
517,517,"['', 'S Collins']","""worst customer service""",1,United States,6th March 2022,,Economy Class,Athens to Boston via London,October 2021,Family Leisure,2.0,3.0,1.0,1,no,2.0,,
518,518,"['', '4 reviews', '', '', '', 'John Smith']","""First time using BA premium and likely my last""",6,United Kingdom,5th March 2022,Boeing 777,Premium Economy,Cape Town to Glasgow via London,February 2022,Solo Leisure,3.0,3.0,2.0,3,yes,2.0,3.0,
519,519,"['', 'John Oberlin-Harris']","""the most shambolic customer support""",1,United Kingdom,4th March 2022,,Business Class,Bangalore to London,March 2022,Business,3.0,4.0,2.0,1,no,1.0,1.0,2.0
520,520,"['', '31 reviews', '', '', '', 'David Ellis']","""smacks of continued cost-cutting""",5,United Kingdom,3rd March 2022,Boeing 777-200,Business Class,London to Cape Town,March 2022,Couple Leisure,3.0,3.0,3.0,3,no,2.0,1.0,
521,521,"['', 'B Malten']","""continues to go downhill""",5,United Kingdom,2nd March 2022,A320,Business Class,Lisbon to London,February 2022,Couple Leisure,1.0,3.0,3.0,1,no,1.0,,
522,522,"['', 'Christopher Neep']","""this flight was excellent""",9,United Kingdom,28th February 2022,A350,Premium Economy,Vancouver to London,February 2022,Solo Leisure,4.0,5.0,4.0,5,yes,5.0,5.0,4.0
523,523,"['', 'E Michaels']","""scrapped the mandatory wearing of face masks""",5,United Kingdom,26th February 2022,A320,Business Class,London to Malaga,February 2022,Business,3.0,3.0,3.0,2,no,2.0,,3.0
524,524,"['', 'D Gorles']","""got it all wrong with 6 hours delay""",1,Greece,21st February 2022,A322,Economy Class,London to Athens,February 2022,Business,2.0,3.0,1.0,1,no,1.0,,
525,525,"['', 'Graham Law']","""could not rebook via BA’s website""",1,United Kingdom,20th February 2022,,Economy Class,London to Edinburgh,February 2022,Solo Leisure,,,1.0,1,no,,,
526,526,"['', 'E Smyth']","""T5 arrivals lounge was excellent""",10,United Kingdom,19th February 2022,Boeing 787-9,Business Class,Washington to London,February 2022,Family Leisure,4.0,5.0,5.0,4,yes,4.0,4.0,4.0
527,527,"['', 'S Meade']","""minimal leg room in economy""",1,United Kingdom,18th February 2022,,Economy Class,Accra to London ,January 2022,Couple Leisure,1.0,2.0,1.0,1,no,1.0,1.0,1.0
528,528,"['', 'David Houlihan']","""very disengaged management model""",2,United Arab Emirates,13th February 2022,A320,Business Class,Dublin to London,February 2022,Business,,,,1,no,,,
529,529,"['', 'E Smyth']","""BA got everything right""",10,United Kingdom,13th February 2022,Boeing 787-9,Business Class,London to Washington,February 2022,Family Leisure,4.0,5.0,5.0,4,yes,5.0,4.0,5.0
530,530,"['', 'C Lane']","""Appalling customer service""",1,United Kingdom,11th February 2022,,Business Class,London to Porto,February 2022,Family Leisure,,,,1,no,,,
531,531,"['', '4 reviews', '', '', '', 'Vincent Borlaug']","""cabin crews remain the best in the business""",10,United States,8th February 2022,,Business Class,Washington to London,December 2021,Solo Leisure,5.0,5.0,4.0,5,yes,5.0,,
532,532,"['', 'M Peale']","""such a nice employee""",10,Canada,8th February 2022,,Economy Class,Montréal to Dubai via London,February 2022,Couple Leisure,,,,4,yes,,,
533,533,"['', 'Caleb Lowe']","""think that BA are getting their mojo back again""",8,United Kingdom,1st February 2022,Boeing 787-9,Business Class,Atlanta to Belfast via Heathrow,January 2022,Couple Leisure,4.0,5.0,5.0,5,yes,4.0,4.0,
534,534,"['', '31 reviews', '', '', '', 'David Ellis']","""Performance of the flight deck was up to its usual high standard""",8,United Kingdom,25th January 2022,Boeing 777,Business Class,Cape Town to London Heathrow,January 2022,Couple Leisure,3.0,4.0,3.0,3,yes,2.0,4.0,
535,535,"['', 'John Prescott']","""BA has a lot to do to regain its standing""",5,United Kingdom,25th January 2022,Boeing 777,Business Class,London Heathrow to Orlando,January 2022,Couple Leisure,2.0,4.0,3.0,3,no,3.0,1.0,
536,536,"['', 'T Rigby']","""Utterly appalling company""",1,United Kingdom,19th January 2022,A380,Economy Class,London Heathrow to Dubai,January 2022,Couple Leisure,2.0,1.0,1.0,1,no,1.0,2.0,
537,537,"['', 'Thomas Scrivens']","""I said I wanted 20-25% back off my holiday""",3,United Kingdom,12th January 2022,,Economy Class,New York to Newcastle via London,November 2021,Solo Leisure,3.0,4.0,1.0,4,no,4.0,4.0,
538,538,"['', 'Ken Howie']","""return trip was disappointing""",6,South Africa,12th January 2022,Boeing 737-800,Business Class,Cape Town to Durban,January 2022,Couple Leisure,3.0,2.0,4.0,3,yes,3.0,,
